Reviews,sentiment
للاسف كان من افضل الفروع من حيث الخدمه والتعامل امان الان مرتين اروح لهم يتكلمو من راس خشومهم كاني داخل اشحذ منهم واطلع بدون اي خدمه,negative
خدمتهم ممتازه وخصوصا الاخ محمد الميرزا جدا خلوق وراق ف تعامله شكرا ميرزااا,positive
جدا ضعيف ماعندهم خبره يطلع شريحه اضافيه ويقول روح الفرع الرءيسي يفعلونها لك بديت افكر اطلع من الشركه هذي الحمدلله اني ما التزمت معاهم بعقود,negative
ضعف في تقديم الخدمه,negative
تعامل راقي وراءع ومن افضل شركات الاتصالات بالمملكه,positive
فرع خدماته سيءه والموظفين ما يعرفوا يجاوبو علي العملاء,negative
خدمتهم جدا سيءه هالفرع,negative
لا يستحق اي نجمه والسبب سوء الاداره,negative
موظف الفرع مستهتر وغير ملتزم بمواعيد ساعات العمل الان الساعه ظهرا والفرع مغلق اكثر من ساعه برغم اوقات العمل لهذا الفرع من صباحا لين ليلا,negative
اسلوب وتعامل راقي وسرعه بالانجاز اتمني لهم التوفيق,positive
الاسعار غاليه شويه ياريت يعملوا عروض كويسه وشكرا,positive
ممتاز وتعامل الموظفين ممتاز وراقي جدا,positive
شبكه ضعيفه مره بانها الشبكه تعمل معها سلام وريدبول والابراج لاتغطي الضغط,negative
ابطا شبكه ويفصل كثير لا تعلقو نفسكم بعقد سنوي معهم ابدا,negative
نصابين وليس لهم اي مصداقيه,negative
نتطلع الي مزيد من الخدمات الراقيه بكم,positive
فرع ممتاز بخدماته والموظفين في قمه الاحترام وبكامل الخبره التامه لانجاز المهام بوقت سريع انا سعيد بهم واشكرهم وبالاخص الموظف عبدالرحمن عادل,positive
جدا سيءه خدمتهم داءم السستم عطلان وكانه تصريفه,negative
كانت المعامله جميله جدا,positive
للاسف شركه زين ربما تطورت من ناحيه الشبكه والخدمات لكن للاسف خدمات العملاء في الفروع الصغيره في الاحياء خدمه العملاء قمه في الفشل والسبب يعود للموظفين حاليا هذا الفرع يوجد موظف واحد المزيد,negative
لا احب الاكل الاسيءي,negative
شكرا للموظفه الراءعه في الفتره المساءيه,positive
الشكر موصول للموظف علي ابوطالب في حل مشكلتي نفع الله به المسلمين,positive
مكان جيد والخدمه جيده,positive
خدمه عملاء ممتازه ماشاء الله عليهم,positive
السلام عليكم هل لكم فروع فاتحين الحين بالخبر او الظهران بوقت حظر التجوال هل خدمه العملاء موجودين في احد يرد علينا اسبوع كامل اجلس بالساعات اتصل ومايرد غير سريط بكلام كثييير مااستفدنا شيء وينكم ماتردون فصلتوا رقمي وابي ارجعه قبل المزيد,neutral
خدمه سيءه واسعار عاليه استبدال شريحه تالفه ب ريال علم ان الشركات المنافسه بعضها تقدمها مجان وبعضهم ب ريال,negative
الانتظار طويل والسبب النظام يعلق كنا يقول الموظف,negative
جيدين ومشكورين لحل المشكله ولكن الكول سنتر يبغله ترتيب من جديد,positive
ممتاز جدا,positive
مستوي راءع من الخدمه والاستقبال راءع والمساعده والتفاهم جميل جدا من الموظفين ومتعاونين لدرجه كبيره في تقديم الخدمه بسرعه والترحاب راءع منهم,positive
الخدمه ممتازه في هذا الفرع وحاب اشكر بشكل اخص الاخت اسراء خدمتني من اول زياره وحرصها علي انجاز طلبي والمتابعه حتي انهاءه,positive
تعاملت انا واختي مع الموظفه اسراء ماقصرت معانا ابد وساعدتني بمشكلتي وطلعت لي الجوال والخط باسرع وقت ممكن ونفس طيبه وبشوشه,positive
الموظفه محترمه و تعاملها جميل جدا رغم م كان في جوال الي ابيه بس حاولت تخدمني يعطيها العافيه,positive
اتعامل مع الموظفه اسراء بصراحه ماحد خدمني فالفروع كلها كثرها اي شي احتاجه تخدمني فيه باسرع وقت وافضل تعامل,positive
مشالله الخدمه سريعه والمكان الموظف الخالدي حسن خلق وسريع الخدمه ونصوح,positive
الموظف احمد بن عبدالله موظف ممتاز ولبق وخدوم والفرع جميل ومافيه زحمه جزاهم الله كل خير,positive
الموظفه اسراء ممتازه و احترافيه في التعامل مع العميل,positive
بصراحه ماكنت احب زين بس فيه موظفه الله يسعدها اسراء قمه التعامل والرقي ساعدتني وخصمت لي مديونيه وطلعت رقم وجهاز في ربع ساعه وحولت المشغل علي رقمي لزين للامانه عروضهم جباره وما تقارن,positive
شكرا للموظفه اسراء علي خدمتها ومتابعتها لتلبيه الطلبان بجوده و وقت ممتاز,positive
خدمه ممتازه و سريعه من الاخت اسراء يعطيها العافيه,positive
صراحه موظف خدوم ولبق ومحترم وينصح لفاءدتك شكرا شركه زين علي هاذا الطاقم,positive
اسراء التميز في زين ربي يوفقها وسريعه وخدومه,positive
انا اخالفك الراي سطام العتيبي انا عميل عنده رجال محترم ونصوح,positive
من اسواء الفروع,negative
فرع زين,neutral
طاقم عمل متعاون,neutral
متجر عظيم طاقم عمل جيد,positive
المواقف صغيره وضيقه,negative
خدمه لطيفه للغايه,positive
جيد,positive
خدمات سريعه ومتعاون نتمني لهم دوام التميز,positive
خدمه سيءه و اتمني من الشركه توحد الزي للفتيات مثل الشباب لان المناظر مزعجه للعين و ليست رسميه,negative
الموظف متعاون فعال انحز لي جميع الخدماتوبسرعه واتقان لكن شركه زين النت سء جدا واستخرجت بكاقه مسبقه الدفع واكتشفت انها مفوتر سددت المبلغ والغيت الخدمه لازال فاتوره الشهر الءي تم تسديده يرسل الس جوالي والحيد اني اخذت ورقه تثبت السداد والغاء الخدمه انتبهوا خذوا اثباتات,negative
ماشاءالله تبارك الرحمن متقدمه وخدمه راءعه ومتميزه,positive
اسلوب غير مهني ولا يقدرون يساعدوك باي خدمات وتاخير في خدمه العملاء وعن تجربه دقيقه حتي يجي رقمي مع العلم مافي غير زبون واحد ولا في زحمه نهاءي مع العلم فروع اخري تخدمك وتخدم باقي العملاء شكل اسرع,neutral
معامله واخلاق ممتازه ولا فيه زحمه الفرع,positive
تعامل جميل جدا اخذت من عندهم جهاز جديد مع شريحه واحب اشكر الاخ مشرف الفرع موسي علي اسلوبه الراقي,positive
مغلق من الساعه ليس كما هو مكتوب,negative
يوجد موظف اسمه صالح الرشيدي يفتقر لادني معايير اللباقه في الحديث والتسويق معلوماته ضعيفه من ناحيه تقديم الخدمات لم استفد من خدمات زين بسبب سوء اخلاقه ناهيك عن وساخه الفرع من ناحيه ارضيات وطاولات,negative
من افضل الفروع الي زرتها صراحه تعامل راقي من الموظف بدون اي رسميه يفهمك ويشرح لك بكل بساطه وبدون تعقيد الله يعطيهم العافيه هذا وانا جايه يوم جمعه يعني الناس ويكند وهو مداوم وفوق كذا خدوم وبشوش لله يسعدك,positive
الموظف متعب الشمري خدوم و سريع كل الشكر له,positive
الريحه كانها غنمه,negative
مثل ما ذكر غيري في التعليقات خدمه عملاء ما يحترمون العملاء نفس شينه وخدمه سيءه,negative
الموظفين متعاونين و سلسين في التعامل وفقهم الله,positive
خدماتهم ممتازه,positive
اسوء شركات اتصالات طلبت شريحه وما وصلتني ولا رجعو فلوسي وحتي موظفين خدمه العملاء تعاملهم من اسوء ما يكون ولا عرفو يحلون مشكلتي باختصار ما انصح احد يتعامل معهم,negative
للاسف خدمه عملاء يحتاجون تدريب اكثر في الامور الفنيه الاساسيه,negative
ممتازين جدا خاصه الدب ابو خدود ولحيه طيب ومحترم وفكاهي,positive
تعاملهم جدا راقي وخصوصا خدمات زين,positive
والله موظفين محترمين بكل امانه,positive
خدمه سيءه جدا جدا من الموظفين,negative
من افضل الفروع القريبه من ارامكو وخدماتهم جيده جدا,positive
وقت الانتظار طويل,negative
سيءين تخيلوا تجي ما تلقي موظف الصيانه ويقول انتظر دقيقه بيكون وصل بعد ما تنتظر ما يجي يقوم زميل له غير مختص بالصيانه يستلم الجهاز وبعدين يكلموني يقولوا جهازك ما يشمله الضمان طيب خلوا الموظف المختص يجلس علشان ما نقعد رايحين جايين زين اسوا مما تتوقع فرع الدمام شارع الملك خالد,negative
الله يقويكم فرع راقي جدا,positive
اسوء شبكه لا انصح بها شبكه ضعيفه جدا وبتفصل نت كتير والشريحه جايبها من شهرين وللان ماتفعلت ولا فعلوها ولا ردوا الفلوس حسبنا الله ونعم الوكيل,negative
جميل جدا,positive
اود ان اعرب عن خالص امتناني لشركه زين السعوديه كشك في الظهران مول علي خدماتهم المتميزه كان الموظفون في الكشك متعاونين للغايه ويقظين لقد كانت خبرتهم واستعدادهم لمساعدتي في استفساراتي واهتماماتي محل تقدير كبير ان الراحه التي يوفرها وجود المزيد,positive
لم اتمكن من العثور علي هذا الكشك هل فعلت,neutral
متعاونين بس للاسف الموظفين قللليييل بس ثنين علي فرع اكبر منهم,negative
السلام عليكم الرقم مفصول حاليا واحتاج ارجع رقمي صار اسبوع اتصل علي خدمه العملاء ومااحد يرد جميع الموظفون مشغولون الان اجلس بالساعات اتصل ومااحد يرد بس ابي ارجع رقمي الحين المزيد,neutral
اخذت جهاز و سالته قبل ادفع المبلغ هل الجهاز يكون عليه قفل جاوبني وقال اطلاقا وهذي شاءعه و غير موجوده في شركه زين ولما فتحت الجهاز اكتشفت ان عليه قفل الله لا يوفقه,negative
خدمات جيده جدا,positive
ساعات العمل من الي ومن الي الموظف لين وهو لسي ما داوم,negative
الموظفين محترمين,positive
فرع داخل مبني المدرا لموظفين ارامكو,neutral
شركه اتصالات سعوديه,positive
فاضي علي طول,negative
جيده,positive
اذا كنت تكره خدمات عروض شركه الاتصالات السعوديه وموبايلي فانت في المكان الصحيح,neutral
خدمه العملاء جيده افضل تغطيه في المنطقه,positive
اسوا خدمه عملاء,negative
مغلق من الساعه صباحا حتي الساعه ظهرا,neutral
خدمه العملاء جيده,positive
شبكه الهاتف المحمول ومزود الانترنت,neutral
خدمه بسيطه للغايه,positive
سيءه كالعاده,negative
الموقع ممتاز والموظفين اكفاء لكن خدمات الشبكه ضعيفه جدا في حي السلمانيه الاول قدمت بلاغات لدي شركه زين ولا مجيب وكان الردود عن طريق الرساءل بحل المشكله وتم تقديم شكوي لدي هيءه الاتصالات وتقنيه المعلومات ولا حل المشكله وتم الانتقال لمشغل اخر,negative
اقسم بالله شركه ممتازه وانا كنسلت الشريحه عدم احترام ربنا يهديك ياموظف زين كاونتر رقم بي الزاد فرع الهفوف الله لاعادك قدامي ان شاءلله لانو كرهتك ان شاءلله يكون في محاسبه ليك من قبل الشركه وربنا يهديك,negative
الموظف سالته عن ايفون تيتانيوم قال مو موجود بعدين سالني اذا بتدفع كاش بضبطك واجيبه لك هذا معناه ان الموظفين يحتكرون الاجهزه اللي عليها طلب ويبيعونها كاش,neutral
الانترنت سيء جدا جدا وتعامل الموضفين سيء جظا جدا جدا وخدمه ما بعد البيع سيءه وشركه تقييمي لها تحت الصفر للاسف وعند طلب الغاء الاشتراك قالو انت موقع عقد تدفع كامل المبلغ يعني تدفع حق سنه والنت سيء جدا وعند طلب تغيير المودم طلبو تجربته في المزيد,negative
تجربتي الشخصيه معهم سيءه جدا جدا جدا مشكلتي اني اشتركت معهم بانترنت جي ودفعت مبلغ وقدره واخرتها بدون مبالغه نت جوالي اسرع من ال حقهم نت جوالي من شركه ثانيه المزيد,negative
الشبكه ضعيفه جدا في كل مكان الاتصال يعلق بعض الاحيان خدمه العملاء سيءه تتصل عليه مايردون عليك واذا ردو مايعطونك حل,negative
الفرع الرءيسي لزين في المنطقه الفرع متوسط الحجم لكنه نوعا ما قديم و الخدمه بطيءه المزيد,negative
فرع زين الرءيسي وخدمه العملاء عندهم بطيءه جدا جدا منرفزه انتظرت لمده نص ساعه بالرغم من انه لا يوجد عملاء كثير تجربه سيءه,negative
الحقيقه كانت خدمه ممتازه واخلاق راقيه وتعامل جدا ممتاز من الموظف اللي في الفرع اول ماتدخل مكتب الموظف علي يسارك,positive
موقع الفرع والجو العام جدا ممتاز ولكن الملاحظ ان الموظفين منفسين داءما ولا يهتمون في الرد علي العملاء والوجوه متجهمه وتشعر ما تقرق معهم رضاء العميل من عدمه يحتاجون دورات في كسب العملاء,neutral
الموظفين جالسين بمكاتبهم محد يمشي الارقام ونصهم منحاش داخل,negative
تعتبر شركه جدا جميله ولها طابع خاص بين العملاء ولكن بصراحه مانشوف اي اهتمام للعملاء في هذا الوقت لاينظر لشكواك ولايتواصلون معك المزيد,positive
الجو العام جدا ممتاز وتعامل الموظف جدا راقي,positive
انتبهو فيهم حركه مش كويسه مثلا انت جاي بتلغي خط مفوتر او بينات تلقيهم تدفع المبلغ الي عليك يقولك خلاص ماعليك اي مبلغ لو طلبت منهم اخلاء طرف مايعطونك يقولك خلاص مورك طيبه وهذي ورقه فاتوره سداد المبلغ وبعد شهر شهرين سنه تلاقي شركه تحصيل المزيد,negative
فاااااشلين لسي الايفون نزل وثاني واحد يخش يقلك مافي الا اللون الازرق,negative
هناك بعض التفاصيل تفاجء بها تاكد من كل شء قبل الاجراء,neutral
اسوء نت دايما يفصل النت ويعطي بدون اتصال,negative
تغيرت سياسه الشركه بشكل صادم حيث كانت في بدايه انطلاقتها شركه عملاقه و ذو راس مال هو الاكبر في عالم الاتصالات بالمملكه وايضا تعامل موظفينها بشكل مثالي من الاستقبال و موظفين خدمات المستفدين و تقديم هدايا للزوار و ايضا انتشار فروعها بكل مكان المزيد,positive
تعامل سيء من الموظف ومظلل لبعض المزايا للباقات والاجهزه كلام غير واضح وبعد توقيع العقود اتضح لي الكثير من العيوب في الباقات التي لم يذكرها الموظف المزيد,negative
ذكرت شركه الاتصالات المتنقله السعوديه زين انه قد ورد في تقرير المراجع الخارجي نود لفت الانتباه للايضاح رقم و حول القواءم الماليه الاوليه تكبدت الشركه صافي خساره لفتره التسعه اشهر المنتهيه في سبتمبر ولديها عجز متراكم كما المزيد,negative
ممتاز واشكر الموظف نايف,positive
للاسف احبطت جدا من شركه زين بغيت اشتري ايفون برو ماكس ولي الان اسبوع رايح جاي مشوره مع العلم باني عميل قديم وعندي اعلي باقه ولي خصم خاص لكن مو راضين يوفرون لي الجوال ومايعطونك اي كلمه اكيده عن وقت توفر الجهاز يعني انت وحظك مافي ميزه لك حتي المزيد,negative
بسم الله والصلاه والسلام علي رسول الله تجارب سلبيه حيث تتضاعف الفواتير بشكل غير منطقي تاره يقال هناك شراء من تطبيق افلام وعندما اءكد عدم وجود ذلك واطالب بالغاءه يقولون خارج عن ارادتنا وتاره يدعون انه اشتراك في تطبيق العاب وعندما انكر المزيد,negative
كنت اشحن يعطيني جيجا ودلوقتي جيجا والشبكه صارت سيءه للغايه انا اخر اشتراك هذا الشهر,negative
انه جميل جدا واسعار مناسبه وكل شي فيه جميل زوروه ماراح تندمو,positive
اول تعامل مع الشركه وللامانه تعامل راقي من الموظف والاهم من ذالك وماجذبني تفصيل جميع الخدمات المقدمه والالتزام المفروض علي العميل المزيد,positive
شركه فاشله بكل المقايسس الصرحه اجي عند الموظف اقول لها جهه بيتنا في ابراج يقول ايه و يوريني في الخريطه انا جهه بيتنا ابراج تمام ويوم شريتها الله وكيلك ابراج ونت زي الخراء ارجع للموظف يقول مالي شغل نصيحه لوجه الله ابعد عن ها الشركه الخايسه,negative
الاستقبال ممتاز من قبل الموظفين للعملاء وتقديم الخدمه بالانجاز السريع,positive
تري زين افضل سرعه داونلود في المملكه لكن سرعه الابلود تتفوق عليها فعلي حسب استعمالك و هي خدمه ممتازه في كل الاحوال,positive
خدمه جيده ولو انه صار موقف قدامي في تعامل موظف مع عميل مع انه العميل كان قليل ادب ولكن رده فعل الموظف كانت اوفر جدا,negative
تعامل الموظف جيد انتظرت طويلا لانه لايوجد الا موظف واحد,positive
تعامل راقي خدمه سريعه,positive
اشكر الاخ باقر الهلال علي خدمته السريعه والابتسامه الطيبه بالتوفيق,positive
مكتب يحاول موظفينه تقديم المساعده لك بكل ما يملكون قدره لايتضجرون برغم من صغر المساحه والحرص علي التباعد زرتهم ووجدت كل التعاون لهم كل الشكر والتقدير,positive
من افضل الفروع اللي احب اخلص اشغالي فيها هالفرع فيه موظف اسمه محمد بدر قمه بالاخلاق والتعامل شكرا من القلب,positive
في شب موظف كان موجود بعد صلاه الظهر ممتاز الله يعطيه العافيه,positive
المكان صغير جدا ولا يوجد غير موظف واحد وقنره الانتظار طويله,negative
تعامل كويس,positive
شركه غنيه عن التعريف في تقديم خدمات الاتصالات,positive
الموظفين متعاونين بطء في اداء الخدمه,negative
سيءه جد جد جد ولا انصح في استخدامها وكلامي من واقع تجربه لمده سنه وبالغصب كملت سنه لوجود عقد يحمل توقيعي عكس ما اتفق عليه,negative
جيد جدا والموظفين محترمين جدا ماشاء الله,positive
تعامل سيءه جدا وعنصريه في تعامل مع المقيم بس لو معك سعودي تعامل كويس مع اي مقيم لا تعامل سيءه جدا جدا جدا جدا جدا جدا جدا جدا جدا,negative
مصنع ممتاز ونظيف ويراعي فيه نظافه البيءه وخبره ممتازه في هذا المجال,positive
الاتصال يقول فيه اجهزه رحت الفرع قاا ل مافي شي منقطعه من فتره,neutral
بصراحه من افضل الموظفين في تعاملهم مع العميل,positive
خدمه ممتازه جدا من الموظف,positive
شركه جدا سيءه لي ايام مشترك في باقه والي الان ماتفعلت وكل ما كلمت احد من خدمه العملاء يقول بنحل المشكله خلال الساعات القادمه,negative
السلام عليكم مكتوب يفتح الصباح وجيت وربع ومغلق وعلي جوجل مكتوب مفتوح والسكورتي قال ما يفتحون لل و نصف علي القاءمين الاهتمام بالمصداقيه من اولها تفشلنا,negative
مكان جيد وخدمات جيده لكن يوجد موظف واحد والعملاء كثر ويفترض وجود موظف اخر ويوجد له مكان شاغر,neutral
شركه فاشل عنجد الفرع الذي في الهفوف الاحساء مول مغلق من قبل البلديه اكثر من شهر ونص يعني شركه كبير طويل عريض ما قدرو يعملو حل ويراجعو البلديه عشان يفتحو الفرع لعملاءهم سيء,negative
شركه متطوره وعروض منافسه ومتعدده واداء الموظفين ممتاز,positive
شركه مجتهده في تقديم الخدمه لكن ننتظر عمل اكثر تميز,positive
الموظفين قمه في الاخلاق وثانيا لايوجد زحمه,positive
